_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,sentence,tones
{},False,{},11,2023-12-17 09:10:55,False,,,DenseRatingRemnantTrial,1423,1423,True,1423,2,1,feature_rating,"{""sentence"": ""I`ve missed you so much, my darling."", ""tones"": [""indignant""]}",True,False,,0.0,,"{""sentence"": ""I`ve missed you so much, my darling."", ""tones"": [""indignant""], ""answer"": {""indignant"": ""1""}}",True,28.0,,,4.771,540.0,590.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I`ve missed you so much, my darling.","[""indignant""]"
{},False,{},12,2023-12-17 09:11:01,False,,,DenseRatingRemnantTrial,750,750,True,750,2,1,feature_rating,"{""sentence"": ""I cannot believe I did so well in my exams."", ""tones"": [""sympathetic""]}",True,False,,0.0,,"{""sentence"": ""I cannot believe I did so well in my exams."", ""tones"": [""sympathetic""], ""answer"": {""sympathetic"": ""2""}}",True,29.0,,,4.881,590.0,640.0,50.0,0,default,DenseRatingRemnantTrial,Info,I cannot believe I did so well in my exams.,"[""sympathetic""]"
{},False,{},13,2023-12-17 09:11:07,False,,,DenseRatingRemnantTrial,1863,1863,True,1863,2,1,feature_rating,"{""sentence"": ""I really welcomed your help at work today!"", ""tones"": [""appreciative""]}",True,False,,0.0,,"{""sentence"": ""I really welcomed your help at work today!"", ""tones"": [""appreciative""], ""answer"": {""appreciative"": ""5""}}",True,31.0,,,10.015,640.0,690.0,50.0,0,default,DenseRatingRemnantTrial,Info,I really welcomed your help at work today!,"[""appreciative""]"
{},False,{},14,2023-12-17 09:11:12,False,,,DenseRatingRemnantTrial,1256,1256,True,1256,1,2,feature_rating,"{""sentence"": ""I`m really worried about your recent behavior, are you okay?"", ""tones"": [""skeptical""]}",True,False,,0.0,,"{""sentence"": ""I`m really worried about your recent behavior, are you okay?"", ""tones"": [""skeptical""], ""answer"": {""skeptical"": ""4""}}",True,32.0,,,6.667,240.0,290.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I`m really worried about your recent behavior, are you okay?","[""skeptical""]"
{},False,{},15,2023-12-17 09:11:18,False,,,DenseRatingRemnantTrial,1961,1961,True,1961,2,1,feature_rating,"{""sentence"": ""That has really angered me."", ""tones"": [""sarcastic""]}",True,False,,0.0,,"{""sentence"": ""That has really angered me."", ""tones"": [""sarcastic""], ""answer"": {""sarcastic"": ""1""}}",True,33.0,,,4.102,690.0,740.0,50.0,0,default,DenseRatingRemnantTrial,Info,That has really angered me.,"[""sarcastic""]"
{},False,{},16,2023-12-17 09:11:20,False,,,DenseRatingRemnantTrial,607,607,True,607,1,2,feature_rating,"{""sentence"": ""Great to hear the news."", ""tones"": [""curious""]}",True,False,,0.0,,"{""sentence"": ""Great to hear the news."", ""tones"": [""curious""], ""answer"": {""curious"": ""1""}}",True,34.0,,,7.646,290.0,340.0,50.0,0,default,DenseRatingRemnantTrial,Info,Great to hear the news.,"[""curious""]"
{},False,{},17,2023-12-17 09:11:24,False,,,DenseRatingRemnantTrial,1698,1698,True,1698,2,1,feature_rating,"{""sentence"": ""Thank goodness that is over; I thought it would never end!"", ""tones"": [""frustrated""]}",True,False,,0.0,,"{""sentence"": ""Thank goodness that is over; I thought it would never end!"", ""tones"": [""frustrated""], ""answer"": {""frustrated"": ""3""}}",True,35.0,,,6.268,740.0,790.0,50.0,0,default,DenseRatingRemnantTrial,Info,Thank goodness that is over; I thought it would never end!,"[""frustrated""]"
{},False,{},18,2023-12-17 09:11:30,False,,,DenseRatingRemnantTrial,1135,1135,True,1135,1,2,feature_rating,"{""sentence"": ""Excuse me, could you please pass the salt?"", ""tones"": [""nostalgic""]}",True,False,,0.0,,"{""sentence"": ""Excuse me, could you please pass the salt?"", ""tones"": [""nostalgic""], ""answer"": {""nostalgic"": ""2""}}",True,37.0,,,6.072,340.0,390.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Excuse me, could you please pass the salt?","[""nostalgic""]"
{},False,{},19,2023-12-17 09:11:31,False,,,DenseRatingRemnantTrial,412,412,True,412,2,1,feature_rating,"{""sentence"": ""OMG no way, I cannot believe you won the award!"", ""tones"": [""descriptive""]}",True,False,,0.0,,"{""sentence"": ""OMG no way, I cannot believe you won the award!"", ""tones"": [""descriptive""], ""answer"": {""descriptive"": ""1""}}",True,38.0,,,5.097,790.0,840.0,50.0,0,default,DenseRatingRemnantTrial,Info,"OMG no way, I cannot believe you won the award!","[""descriptive""]"
{},False,{},20,2023-12-17 09:11:38,False,,,DenseRatingRemnantTrial,1109,1109,True,1109,1,2,feature_rating,"{""sentence"": ""This hike is turning out to be challenging."", ""tones"": [""angry""]}",True,False,,0.0,,"{""sentence"": ""This hike is turning out to be challenging."", ""tones"": [""angry""], ""answer"": {""angry"": ""2""}}",True,39.0,,,4.455,390.0,440.0,50.0,0,default,DenseRatingRemnantTrial,Info,This hike is turning out to be challenging.,"[""angry""]"
{},False,{},21,2023-12-17 09:11:38,False,,,DenseRatingRemnantTrial,137,137,True,137,2,1,feature_rating,"{""sentence"": ""The more I tried to explain the situation the more I struggled to find the right words."", ""tones"": [""descriptive""]}",True,False,,0.0,,"{""sentence"": ""The more I tried to explain the situation the more I struggled to find the right words."", ""tones"": [""descriptive""], ""answer"": {""descriptive"": ""3""}}",True,42.0,,,11.297,840.0,890.0,50.0,0,default,DenseRatingRemnantTrial,Info,The more I tried to explain the situation the more I struggled to find the right words.,"[""descriptive""]"
{},False,{},22,2023-12-17 09:11:43,False,,,DenseRatingRemnantTrial,1411,1411,True,1411,1,2,feature_rating,"{""sentence"": ""I`ve missed you so much, my darling."", ""tones"": [""reflective""]}",True,False,,0.0,,"{""sentence"": ""I`ve missed you so much, my darling."", ""tones"": [""reflective""], ""answer"": {""reflective"": ""5""}}",True,41.0,,,3.867,440.0,490.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I`ve missed you so much, my darling.","[""reflective""]"
{},False,{},23,2023-12-17 09:11:49,False,,,DenseRatingRemnantTrial,1634,1634,True,1634,1,2,feature_rating,"{""sentence"": ""I`m really worried about your excessive workload, are you managing alright?"", ""tones"": [""admiring""]}",True,False,,0.0,,"{""sentence"": ""I`m really worried about your excessive workload, are you managing alright?"", ""tones"": [""admiring""], ""answer"": {""admiring"": ""1""}}",True,44.0,,,5.974,490.0,540.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I`m really worried about your excessive workload, are you managing alright?","[""admiring""]"
{},False,{},24,2023-12-17 09:11:50,False,,,DenseRatingRemnantTrial,40,40,True,40,2,1,feature_rating,"{""sentence"": ""I am worried about my driving test."", ""tones"": [""shocked""]}",True,False,,0.0,,"{""sentence"": ""I am worried about my driving test."", ""tones"": [""shocked""], ""answer"": {""shocked"": ""1""}}",True,43.0,,,3.65,890.0,940.0,50.0,0,default,DenseRatingRemnantTrial,Info,I am worried about my driving test.,"[""shocked""]"
{},False,{},25,2023-12-17 09:11:55,False,,,DenseRatingRemnantTrial,873,873,True,873,2,1,feature_rating,"{""sentence"": ""I cannot wait to open my birthday present."", ""tones"": [""friendly""]}",True,False,,0.0,,"{""sentence"": ""I cannot wait to open my birthday present."", ""tones"": [""friendly""], ""answer"": {""friendly"": ""4""}}",True,45.0,,,3.669,940.0,990.0,50.0,0,default,DenseRatingRemnantTrial,Info,I cannot wait to open my birthday present.,"[""friendly""]"
{},False,{},26,2023-12-17 09:11:56,False,,,DenseRatingRemnantTrial,1119,1119,True,1119,1,2,feature_rating,"{""sentence"": ""Excuse me, could you please pass the salt?"", ""tones"": [""worried""]}",True,False,,0.0,,"{""sentence"": ""Excuse me, could you please pass the salt?"", ""tones"": [""worried""], ""answer"": {""worried"": ""1""}}",True,46.0,,,4.732,540.0,590.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Excuse me, could you please pass the salt?","[""worried""]"
{},False,{},27,2023-12-17 09:12:00,False,,,DenseRatingRemnantTrial,376,376,True,376,2,1,feature_rating,"{""sentence"": ""Oh my goodness, I can`t believe we are going to Disneyland tomorrow!"", ""tones"": [""apologetic""]}",True,False,,0.0,,"{""sentence"": ""Oh my goodness, I can`t believe we are going to Disneyland tomorrow!"", ""tones"": [""apologetic""], ""answer"": {""apologetic"": ""1""}}",True,47.0,,,2.947,990.0,1040.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Oh my goodness, I can`t believe we are going to Disneyland tomorrow!","[""apologetic""]"
{},False,{},28,2023-12-17 09:12:03,False,,,DenseRatingRemnantTrial,1004,1004,True,1004,1,2,feature_rating,"{""sentence"": ""What`s the story behind this antique, it seems quite intriguing?"", ""tones"": [""relieved""]}",True,False,,0.0,,"{""sentence"": ""What`s the story behind this antique, it seems quite intriguing?"", ""tones"": [""relieved""], ""answer"": {""relieved"": ""1""}}",True,48.0,,,4.35,590.0,640.0,50.0,0,default,DenseRatingRemnantTrial,Info,"What`s the story behind this antique, it seems quite intriguing?","[""relieved""]"
{},False,{},29,2023-12-17 09:12:04,False,,,DenseRatingRemnantTrial,1836,1836,True,1836,2,1,feature_rating,"{""sentence"": ""Oh thank goodness, I thought I had lost my wallet!"", ""tones"": [""appreciative""]}",True,False,,0.0,,"{""sentence"": ""Oh thank goodness, I thought I had lost my wallet!"", ""tones"": [""appreciative""], ""answer"": {""appreciative"": ""4""}}",True,49.0,,,3.607,1040.0,1090.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Oh thank goodness, I thought I had lost my wallet!","[""appreciative""]"
{},False,{},30,2023-12-17 09:12:09,False,,,DenseRatingRemnantTrial,1792,1792,True,1792,1,2,feature_rating,"{""sentence"": ""The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight."", ""tones"": [""affectionate""]}",True,False,,0.0,,"{""sentence"": ""The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight."", ""tones"": [""affectionate""], ""answer"": {""affectionate"": ""5""}}",True,50.0,,,6.108,640.0,690.0,50.0,0,default,DenseRatingRemnantTrial,Info,"The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight.","[""affectionate""]"
{},False,{},31,2023-12-17 09:12:09,False,,,DenseRatingRemnantTrial,1696,1696,True,1696,2,1,feature_rating,"{""sentence"": ""Thank goodness that is over; I thought it would never end!"", ""tones"": [""reflective""]}",True,False,,0.0,,"{""sentence"": ""Thank goodness that is over; I thought it would never end!"", ""tones"": [""reflective""], ""answer"": {""reflective"": ""2""}}",True,53.0,,,15.769,1090.0,1140.0,50.0,0,default,DenseRatingRemnantTrial,Info,Thank goodness that is over; I thought it would never end!,"[""reflective""]"
{},False,{},32,2023-12-17 09:12:16,False,,,DenseRatingRemnantTrial,1737,1737,True,1737,1,2,feature_rating,"{""sentence"": ""Please, I really need your help, I don`t know what else to do!"", ""tones"": [""irritated""]}",True,False,,0.0,,"{""sentence"": ""Please, I really need your help, I don`t know what else to do!"", ""tones"": [""irritated""], ""answer"": {""irritated"": ""5""}}",True,52.0,,,6.05,690.0,740.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Please, I really need your help, I don`t know what else to do!","[""irritated""]"
{},False,{},33,2023-12-17 09:12:24,False,,,DenseRatingRemnantTrial,164,164,True,164,1,2,feature_rating,"{""sentence"": ""Oh sweetie, I suppose it`s quite an accomplishment for someone like you."", ""tones"": [""reflective""]}",True,False,,0.0,,"{""sentence"": ""Oh sweetie, I suppose it`s quite an accomplishment for someone like you."", ""tones"": [""reflective""], ""answer"": {""reflective"": ""4""}}",True,55.0,,,6.062,740.0,790.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Oh sweetie, I suppose it`s quite an accomplishment for someone like you.","[""reflective""]"
{},False,{},34,2023-12-17 09:12:26,False,,,DenseRatingRemnantTrial,538,538,True,538,2,1,feature_rating,"{""sentence"": ""I love you more than words can express, my dear."", ""tones"": [""surprised""]}",True,False,,0.0,,"{""sentence"": ""I love you more than words can express, my dear."", ""tones"": [""surprised""], ""answer"": {""surprised"": ""1""}}",True,54.0,,,4.733,1140.0,1190.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I love you more than words can express, my dear.","[""surprised""]"
{},False,{},35,2023-12-17 09:12:32,False,,,DenseRatingRemnantTrial,1083,1083,True,1083,2,1,feature_rating,"{""sentence"": ""I can`t believe we`re going to Disneyland tomorrow, I`m so thrilled!"", ""tones"": [""pleased""]}",True,False,,0.0,,"{""sentence"": ""I can`t believe we`re going to Disneyland tomorrow, I`m so thrilled!"", ""tones"": [""pleased""], ""answer"": {""pleased"": ""5""}}",True,56.0,,,4.274,1190.0,1240.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I can`t believe we`re going to Disneyland tomorrow, I`m so thrilled!","[""pleased""]"
{},False,{},36,2023-12-17 09:12:32,False,,,DenseRatingRemnantTrial,1291,1291,True,1291,1,2,feature_rating,"{""sentence"": ""Thank you so much for the lovely flowers."", ""tones"": [""disappointed""]}",True,False,,0.0,,"{""sentence"": ""Thank you so much for the lovely flowers."", ""tones"": [""disappointed""], ""answer"": {""disappointed"": ""1""}}",True,57.0,,,4.373,790.0,840.0,50.0,0,default,DenseRatingRemnantTrial,Info,Thank you so much for the lovely flowers.,"[""disappointed""]"
{},False,{},37,2023-12-17 09:12:37,False,,,DenseRatingRemnantTrial,1516,1516,True,1516,2,1,feature_rating,"{""sentence"": ""I wondered if her intentions were in the right place."", ""tones"": [""affectionate""]}",True,False,,0.0,,"{""sentence"": ""I wondered if her intentions were in the right place."", ""tones"": [""affectionate""], ""answer"": {""affectionate"": ""1""}}",True,58.0,,,3.02,1240.0,1290.0,50.0,0,default,DenseRatingRemnantTrial,Info,I wondered if her intentions were in the right place.,"[""affectionate""]"
{},False,{},38,2023-12-17 09:12:38,False,,,DenseRatingRemnantTrial,707,707,True,707,1,2,feature_rating,"{""sentence"": ""Oh my goodness, I can`t believe we`re actually going to Disneyland tomorrow!"", ""tones"": [""defensive""]}",True,False,,0.0,,"{""sentence"": ""Oh my goodness, I can`t believe we`re actually going to Disneyland tomorrow!"", ""tones"": [""defensive""], ""answer"": {""defensive"": ""1""}}",True,59.0,,,4.647,840.0,890.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Oh my goodness, I can`t believe we`re actually going to Disneyland tomorrow!","[""defensive""]"
{},False,{},39,2023-12-17 09:12:41,False,,,DenseRatingRemnantTrial,1569,1569,True,1569,2,1,feature_rating,"{""sentence"": ""Please allow me to assist with any problems you may have."", ""tones"": [""pleased""]}",True,False,,0.0,,"{""sentence"": ""Please allow me to assist with any problems you may have."", ""tones"": [""pleased""], ""answer"": {""pleased"": ""2""}}",True,60.0,,,3.183,1290.0,1340.0,50.0,0,default,DenseRatingRemnantTrial,Info,Please allow me to assist with any problems you may have.,"[""pleased""]"
{},False,{},40,2023-12-17 09:12:45,False,,,DenseRatingRemnantTrial,990,990,True,990,1,2,feature_rating,"{""sentence"": ""Oh my goodness, I just can`t wait for the concert tonight!"", ""tones"": [""descriptive""]}",True,False,,0.0,,"{""sentence"": ""Oh my goodness, I just can`t wait for the concert tonight!"", ""tones"": [""descriptive""], ""answer"": {""descriptive"": ""2""}}",True,62.0,,,8.199,890.0,940.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Oh my goodness, I just can`t wait for the concert tonight!","[""descriptive""]"
{},False,{},41,2023-12-17 09:12:46,False,,,DenseRatingRemnantTrial,1446,1446,True,1446,2,1,feature_rating,"{""sentence"": ""I was so thankful for your help."", ""tones"": [""annoyed""]}",True,False,,0.0,,"{""sentence"": ""I was so thankful for your help."", ""tones"": [""annoyed""], ""answer"": {""annoyed"": ""1""}}",True,61.0,,,2.353,1340.0,1390.0,50.0,0,default,DenseRatingRemnantTrial,Info,I was so thankful for your help.,"[""annoyed""]"
{},False,{},42,2023-12-17 09:12:49,False,,,DenseRatingRemnantTrial,598,598,True,598,2,1,feature_rating,"{""sentence"": ""Great to hear the news."", ""tones"": [""irritated""]}",True,False,,0.0,,"{""sentence"": ""Great to hear the news."", ""tones"": [""irritated""], ""answer"": {""irritated"": ""2""}}",True,63.0,,,4.571,1390.0,1440.0,50.0,0,default,DenseRatingRemnantTrial,Info,Great to hear the news.,"[""irritated""]"
{},False,{},43,2023-12-17 09:12:54,False,,,DenseRatingRemnantTrial,697,697,True,697,1,2,feature_rating,"{""sentence"": ""You have done exceedingly well, I am so happy."", ""tones"": [""encouraging""]}",True,False,,0.0,,"{""sentence"": ""You have done exceedingly well, I am so happy."", ""tones"": [""encouraging""], ""answer"": {""encouraging"": ""5""}}",True,65.0,,,5.413,940.0,990.0,50.0,0,default,DenseRatingRemnantTrial,Info,"You have done exceedingly well, I am so happy.","[""encouraging""]"
{},False,{},44,2023-12-17 09:12:55,False,,,DenseRatingRemnantTrial,103,103,True,103,2,1,feature_rating,"{""sentence"": ""Do you really expect me to believe that?"", ""tones"": [""urgent""]}",True,False,,0.0,,"{""sentence"": ""Do you really expect me to believe that?"", ""tones"": [""urgent""], ""answer"": {""urgent"": ""2""}}",True,66.0,,,7.899,1440.0,1490.0,50.0,0,default,DenseRatingRemnantTrial,Info,Do you really expect me to believe that?,"[""urgent""]"
{},False,{},45,2023-12-17 09:13:01,False,,,DenseRatingRemnantTrial,774,774,True,774,1,2,feature_rating,"{""sentence"": ""We need to evacuate the building immediately, there`s a fire!"", ""tones"": [""admiring""]}",True,False,,0.0,,"{""sentence"": ""We need to evacuate the building immediately, there`s a fire!"", ""tones"": [""admiring""], ""answer"": {""admiring"": ""1""}}",True,67.0,,,4.443,990.0,1040.0,50.0,0,default,DenseRatingRemnantTrial,Info,"We need to evacuate the building immediately, there`s a fire!","[""admiring""]"
{},False,{},46,2023-12-17 09:13:04,False,,,DenseRatingRemnantTrial,632,632,True,632,2,1,feature_rating,"{""sentence"": ""Are you feeling okay, you seem a bit off today?"", ""tones"": [""sympathetic""]}",True,False,,0.0,,"{""sentence"": ""Are you feeling okay, you seem a bit off today?"", ""tones"": [""sympathetic""], ""answer"": {""sympathetic"": ""4""}}",True,69.0,,,7.711,1490.0,1540.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Are you feeling okay, you seem a bit off today?","[""sympathetic""]"
{},False,{},47,2023-12-17 09:13:07,False,,,DenseRatingRemnantTrial,501,501,True,501,1,2,feature_rating,"{""sentence"": ""The patient was unhappy with his treatment."", ""tones"": [""excited""]}",True,False,,0.0,,"{""sentence"": ""The patient was unhappy with his treatment."", ""tones"": [""excited""], ""answer"": {""excited"": ""1""}}",True,68.0,,,3.864,1040.0,1090.0,50.0,0,default,DenseRatingRemnantTrial,Info,The patient was unhappy with his treatment.,"[""excited""]"
{},False,{},48,2023-12-17 09:13:13,False,,,DenseRatingRemnantTrial,1795,1795,True,1795,2,1,feature_rating,"{""sentence"": ""The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight."", ""tones"": [""reassuring""]}",True,False,,0.0,,"{""sentence"": ""The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight."", ""tones"": [""reassuring""], ""answer"": {""reassuring"": ""4""}}",True,70.0,,,6.513,1540.0,1590.0,50.0,0,default,DenseRatingRemnantTrial,Info,"The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight.","[""reassuring""]"
{},False,{},49,2023-12-17 09:13:13,False,,,DenseRatingRemnantTrial,742,742,True,742,1,2,feature_rating,"{""sentence"": ""I cannot believe I did so well in my exams."", ""tones"": [""joyful""]}",True,False,,0.0,,"{""sentence"": ""I cannot believe I did so well in my exams."", ""tones"": [""joyful""], ""answer"": {""joyful"": ""3""}}",True,71.0,,,8.081,1090.0,1140.0,50.0,0,default,DenseRatingRemnantTrial,Info,I cannot believe I did so well in my exams.,"[""joyful""]"
{},False,{},50,2023-12-17 09:13:21,False,,,DenseRatingRemnantTrial,1763,1763,True,1763,2,1,feature_rating,"{""sentence"": ""It is a known fact that bananas are a yellow fruit."", ""tones"": [""apologetic""]}",True,False,,0.0,,"{""sentence"": ""It is a known fact that bananas are a yellow fruit."", ""tones"": [""apologetic""], ""answer"": {""apologetic"": ""1""}}",True,72.0,,,5.276,1590.0,1640.0,50.0,0,default,DenseRatingRemnantTrial,Info,It is a known fact that bananas are a yellow fruit.,"[""apologetic""]"
{},False,{},51,2023-12-17 09:13:23,False,,,DenseRatingRemnantTrial,268,268,True,268,1,2,feature_rating,"{""sentence"": ""Why can`t you just do your job properly for once?"", ""tones"": [""relieved""]}",True,False,,0.0,,"{""sentence"": ""Why can`t you just do your job properly for once?"", ""tones"": [""relieved""], ""answer"": {""relieved"": ""1""}}",True,73.0,,,3.952,1140.0,1190.0,50.0,0,default,DenseRatingRemnantTrial,Info,Why can`t you just do your job properly for once?,"[""relieved""]"
{},False,{},52,2023-12-17 09:13:27,False,,,DenseRatingRemnantTrial,1027,1027,True,1027,2,1,feature_rating,"{""sentence"": ""I did not break the vase, it was already cracked when I got there!"", ""tones"": [""worried""]}",True,False,,0.0,,"{""sentence"": ""I did not break the vase, it was already cracked when I got there!"", ""tones"": [""worried""], ""answer"": {""worried"": ""4""}}",True,75.0,,,4.408,1640.0,1690.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I did not break the vase, it was already cracked when I got there!","[""worried""]"
{},False,{},53,2023-12-17 09:13:28,False,,,DenseRatingRemnantTrial,1708,1708,True,1708,1,2,feature_rating,"{""sentence"": ""Thank goodness that is over; I thought it would never end!"", ""tones"": [""excited""]}",True,False,,0.0,,"{""sentence"": ""Thank goodness that is over; I thought it would never end!"", ""tones"": [""excited""], ""answer"": {""excited"": ""3""}}",True,76.0,,,4.562,1190.0,1240.0,50.0,0,default,DenseRatingRemnantTrial,Info,Thank goodness that is over; I thought it would never end!,"[""excited""]"
{},False,{},54,2023-12-17 09:13:33,False,,,DenseRatingRemnantTrial,936,936,True,936,2,1,feature_rating,"{""sentence"": ""I can`t wait to see the movie with you later!"", ""tones"": [""apologetic""]}",True,False,,0.0,,"{""sentence"": ""I can`t wait to see the movie with you later!"", ""tones"": [""apologetic""], ""answer"": {""apologetic"": ""1""}}",True,77.0,,,2.495,1690.0,1740.0,50.0,0,default,DenseRatingRemnantTrial,Info,I can`t wait to see the movie with you later!,"[""apologetic""]"
