_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,feature,feature_description,tone,tones
{},False,{},14,2023-12-15 22:43:35,False,,,DenseRatingTrial,53,53,True,53,3,3,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""angry""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""angry"", ""answer"": {""angry"": ""2""}}",True,40.0,,,5.031,100.0,110.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",angry,angry
{},False,{},15,2023-12-15 22:43:36,False,,,DenseRatingTrial,106,106,True,106,1,1,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""proud""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""proud"", ""answer"": {""proud"": ""4""}}",True,39.0,,,3.911,190.0,200.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,proud,proud
{},False,{},16,2023-12-15 22:43:41,False,,,DenseRatingTrial,24,24,True,24,1,1,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""irritated""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""irritated"", ""answer"": {""irritated"": ""1""}}",True,43.0,,,5.636,200.0,210.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,irritated,irritated
{},False,{},17,2023-12-15 22:43:41,False,,,DenseRatingTrial,19,19,True,19,3,3,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""frustrated""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""frustrated"", ""answer"": {""frustrated"": ""1""}}",True,45.0,,,9.691,110.0,120.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,frustrated,frustrated
{},False,{},18,2023-12-15 22:43:47,False,,,DenseRatingTrial,17,17,True,17,2,2,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""frustrated""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""frustrated"", ""answer"": {""frustrated"": ""1""}}",True,52.0,,,19.93,110.0,120.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",frustrated,frustrated
{},False,{},19,2023-12-15 22:43:48,False,,,DenseRatingTrial,73,73,True,73,1,1,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""pleased""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""pleased"", ""answer"": {""pleased"": ""4""}}",True,46.0,,,5.097,210.0,220.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",pleased,pleased
{},False,{},20,2023-12-15 22:43:52,False,,,DenseRatingTrial,95,95,True,95,3,3,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""sad""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""sad"", ""answer"": {""sad"": ""2""}}",True,49.0,,,6.677,120.0,130.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,sad,sad
{},False,{},21,2023-12-15 22:43:54,False,,,DenseRatingTrial,91,91,True,91,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""joyful""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""joyful"", ""answer"": {""joyful"": ""3""}}",True,50.0,,,8.963,220.0,230.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,joyful,joyful
{},False,{},22,2023-12-15 22:43:59,False,,,DenseRatingTrial,141,141,True,141,3,3,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""friendly""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""friendly"", ""answer"": {""friendly"": ""2""}}",True,51.0,,,8.426,130.0,140.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",friendly,friendly
{},False,{},23,2023-12-15 22:44:04,False,,,DenseRatingTrial,26,26,True,26,1,1,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""appreciative""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""appreciative"", ""answer"": {""appreciative"": ""4""}}",True,53.0,,,4.204,230.0,240.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,appreciative,appreciative
{},False,{},24,2023-12-15 22:44:08,False,,,DenseRatingTrial,156,156,True,156,3,3,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""reassuring""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""reassuring"", ""answer"": {""reassuring"": ""4""}}",True,57.0,,,5.36,140.0,150.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,reassuring,reassuring
{},False,{},25,2023-12-15 22:44:08,False,,,DenseRatingTrial,4,4,True,4,2,2,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""excited""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""excited"", ""answer"": {""excited"": ""3""}}",True,59.0,,,8.171,120.0,130.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,excited,excited
{},False,{},26,2023-12-15 22:44:09,False,,,DenseRatingTrial,158,158,True,158,1,1,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""indignant""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""indignant"", ""answer"": {""indignant"": ""1""}}",True,58.0,,,5.718,240.0,250.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,indignant,indignant
{},False,{},27,2023-12-15 22:44:15,False,,,DenseRatingTrial,123,123,True,123,3,3,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""sarcastic""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""sarcastic"", ""answer"": {""sarcastic"": ""1""}}",True,60.0,,,4.508,150.0,160.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,sarcastic,sarcastic
{},False,{},28,2023-12-15 22:44:15,False,,,DenseRatingTrial,43,43,True,43,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""nostalgic""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""nostalgic"", ""answer"": {""nostalgic"": ""4""}}",True,61.0,,,4.734,250.0,260.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,nostalgic,nostalgic
{},False,{},29,2023-12-15 22:44:18,False,,,DenseRatingTrial,83,83,True,83,2,2,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""worried""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""worried"", ""answer"": {""worried"": ""1""}}",True,64.0,,,7.269,130.0,140.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,worried,worried
{},False,{},30,2023-12-15 22:44:20,False,,,DenseRatingTrial,82,82,True,82,3,3,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""worried""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""worried"", ""answer"": {""worried"": ""2""}}",True,62.0,,,2.94,160.0,170.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,worried,worried
{},False,{},31,2023-12-15 22:44:21,False,,,DenseRatingTrial,144,144,True,144,1,1,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""friendly""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""friendly"", ""answer"": {""friendly"": ""4""}}",True,66.0,,,7.622,260.0,270.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,friendly,friendly
{},False,{},32,2023-12-15 22:44:23,False,,,DenseRatingTrial,116,116,True,116,3,3,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""uncertain""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""uncertain"", ""answer"": {""uncertain"": ""2""}}",True,65.0,,,3.873,170.0,180.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,uncertain,uncertain
{},False,{},33,2023-12-15 22:44:26,False,,,DenseRatingTrial,69,69,True,69,2,2,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""anxious""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""anxious"", ""answer"": {""anxious"": ""1""}}",True,67.0,,,5.237,140.0,150.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",anxious,anxious
{},False,{},34,2023-12-15 22:44:28,False,,,DenseRatingTrial,97,97,True,97,3,3,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""annoyed""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""annoyed"", ""answer"": {""annoyed"": ""1""}}",True,68.0,,,3.795,180.0,190.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",annoyed,annoyed
{},False,{},35,2023-12-15 22:44:29,False,,,DenseRatingTrial,76,76,True,76,1,1,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""pleased""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""pleased"", ""answer"": {""pleased"": ""4""}}",True,69.0,,,4.85,270.0,280.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,pleased,pleased
{},False,{},36,2023-12-15 22:44:32,False,,,DenseRatingTrial,97,97,True,97,2,2,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""annoyed""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""annoyed"", ""answer"": {""annoyed"": ""4""}}",True,71.0,,,6.654,150.0,160.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",annoyed,annoyed
{},False,{},37,2023-12-15 22:44:33,False,,,DenseRatingTrial,9,9,True,9,3,3,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""concerned""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""concerned"", ""answer"": {""concerned"": ""2""}}",True,70.0,,,3.132,190.0,200.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",concerned,concerned
{},False,{},38,2023-12-15 22:44:35,False,,,DenseRatingTrial,86,86,True,86,1,1,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""affectionate""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""affectionate"", ""answer"": {""affectionate"": ""3""}}",True,73.0,,,6.16,280.0,290.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,affectionate,affectionate
{},False,{},39,2023-12-15 22:44:37,False,,,DenseRatingTrial,1,1,True,1,3,3,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""excited""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""excited"", ""answer"": {""excited"": ""3""}}",True,74.0,,,4.507,200.0,210.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",excited,excited
{},False,{},40,2023-12-15 22:44:40,False,,,DenseRatingTrial,145,145,True,145,2,2,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""resigned""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""resigned"", ""answer"": {""resigned"": ""2""}}",True,76.0,,,5.989,160.0,170.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",resigned,resigned
{},False,{},41,2023-12-15 22:44:42,False,,,DenseRatingTrial,31,31,True,31,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""surprised""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""surprised"", ""answer"": {""surprised"": ""3""}}",True,79.0,,,5.145,290.0,300.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,surprised,surprised
{},False,{},42,2023-12-15 22:44:42,False,,,DenseRatingTrial,96,96,True,96,3,3,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""sad""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""sad"", ""answer"": {""sad"": ""1""}}",True,78.0,,,3.772,210.0,220.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,sad,sad
{},False,{},43,2023-12-15 22:44:46,False,,,DenseRatingTrial,75,75,True,75,2,2,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""pleased""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""pleased"", ""answer"": {""pleased"": ""3""}}",True,81.0,,,3.335,170.0,180.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,pleased,pleased
{},False,{},44,2023-12-15 22:44:47,False,,,DenseRatingTrial,18,18,True,18,3,3,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""frustrated""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""frustrated"", ""answer"": {""frustrated"": ""1""}}",True,82.0,,,4.04,220.0,230.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,frustrated,frustrated
{},False,{},45,2023-12-15 22:44:48,False,,,DenseRatingTrial,35,35,True,35,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""encouraging""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""encouraging"", ""answer"": {""encouraging"": ""5""}}",True,83.0,,,5.415,300.0,310.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,encouraging,encouraging
{},False,{},46,2023-12-15 22:44:50,False,,,DenseRatingTrial,14,14,True,14,4,4,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""happy""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""happy"", ""answer"": {""happy"": ""1""}}",True,94.0,,,26.641,90.0,100.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,happy,happy
{},False,{},47,2023-12-15 22:44:51,False,,,DenseRatingTrial,126,126,True,126,2,2,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""defensive""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""defensive"", ""answer"": {""defensive"": ""2""}}",True,87.0,,,12.907,180.0,190.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,defensive,defensive
{},False,{},48,2023-12-15 22:44:52,False,,,DenseRatingTrial,154,154,True,154,3,3,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""reassuring""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""reassuring"", ""answer"": {""reassuring"": ""1""}}",True,84.0,,,3.404,230.0,240.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,reassuring,reassuring
{},False,{},49,2023-12-15 22:44:54,False,,,DenseRatingTrial,119,119,True,119,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""sympathetic""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""sympathetic"", ""answer"": {""sympathetic"": ""4""}}",True,85.0,,,4.486,310.0,320.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,sympathetic,sympathetic
{},False,{},50,2023-12-15 22:44:56,False,,,DenseRatingTrial,140,140,True,140,3,3,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""reflective""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""reflective"", ""answer"": {""reflective"": ""4""}}",True,86.0,,,6.189,240.0,250.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,reflective,reflective
{},False,{},51,2023-12-15 22:45:00,False,,,DenseRatingTrial,134,134,True,134,1,1,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""urgent""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""urgent"", ""answer"": {""urgent"": ""1""}}",True,88.0,,,4.768,320.0,330.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,urgent,urgent
{},False,{},52,2023-12-15 22:45:03,False,,,DenseRatingTrial,64,64,True,64,3,3,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""apologetic""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""apologetic"", ""answer"": {""apologetic"": ""1""}}",True,89.0,,,2.784,250.0,260.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,apologetic,apologetic
{},False,{},53,2023-12-15 22:45:04,False,,,DenseRatingTrial,101,101,True,101,2,2,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""shocked""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""shocked"", ""answer"": {""shocked"": ""2""}}",True,93.0,,,9.173,190.0,200.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",shocked,shocked
{},False,{},54,2023-12-15 22:45:05,False,,,DenseRatingTrial,50,50,True,50,1,1,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""descriptive""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""descriptive"", ""answer"": {""descriptive"": ""2""}}",True,91.0,,,4.92,330.0,340.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,descriptive,descriptive
