tone_a|tone_b|rater_order|current_rating
admiring|relieved|4|0.3
admiring|resigned|0|0.2
admiring|resigned|1|0.2
admiring|resigned|2|0.2
admiring|resigned|3|0.2
admiring|resigned|4|0.2
admiring|sad|0|0.1
admiring|sad|1|0.1
admiring|sad|2|0.1
admiring|sad|3|0.1
admiring|sad|4|0.1
admiring|sarcastic|0|0.2
admiring|sarcastic|1|0.1
admiring|sarcastic|2|0.1
admiring|sarcastic|3|0.1
admiring|sarcastic|4|0.1
admiring|shocked|0|0.2
admiring|shocked|1|0.2
admiring|shocked|2|0.2
admiring|shocked|3|0.2
admiring|shocked|4|0.2
admiring|skeptical|0|0.2
admiring|skeptical|1|0.1
admiring|skeptical|2|0.2
admiring|skeptical|3|0.2
admiring|skeptical|4|0.2
admiring|surprised|0|0.3
admiring|surprised|1|0.3
admiring|surprised|2|0.3
admiring|surprised|3|0.3
admiring|surprised|4|0.3
admiring|sympathetic|0|0.5
admiring|sympathetic|1|0.4
admiring|sympathetic|2|0.5
admiring|sympathetic|3|0.4
admiring|sympathetic|4|0.5
admiring|thankful|0|0.7
admiring|thankful|1|0.7
admiring|thankful|2|0.6
admiring|thankful|3|0.6
admiring|thankful|4|0.7
admiring|uncertain|0|0.2
admiring|uncertain|1|0.2
admiring|uncertain|2|0.2
admiring|uncertain|3|0.1
admiring|uncertain|4|0.1
admiring|urgent|0|0.1
admiring|urgent|1|0.2
admiring|urgent|2|0.2
admiring|urgent|3|0.1
admiring|urgent|4|0.2
admiring|worried|0|0.1
admiring|worried|1|0.1
admiring|worried|2|0.1
admiring|worried|3|0.1
admiring|worried|4|0.1
affectionate|affectionate|0|1
affectionate|affectionate|1|1
affectionate|affectionate|2|1
affectionate|affectionate|3|1
affectionate|affectionate|4|1
affectionate|angry|0|0
affectionate|angry|1|0
affectionate|angry|2|0
affectionate|angry|3|0
affectionate|angry|4|0
affectionate|annoyed|0|0.1
affectionate|annoyed|1|0.1
affectionate|annoyed|2|0.1
affectionate|annoyed|3|0.1
affectionate|annoyed|4|0.1
affectionate|anxious|0|0.2
affectionate|anxious|1|0.1
affectionate|anxious|2|0.2
affectionate|anxious|3|0.2
affectionate|anxious|4|0.2
affectionate|apologetic|0|0.3
affectionate|apologetic|1|0.2
affectionate|apologetic|2|0.3
affectionate|apologetic|3|0.3
affectionate|apologetic|4|0.3
affectionate|appreciative|0|0.7
affectionate|appreciative|1|0.7
affectionate|appreciative|2|0.7
affectionate|appreciative|3|0.7
affectionate|appreciative|4|0.7
affectionate|concerned|0|0.5
affectionate|concerned|1|0.5
affectionate|concerned|2|0.5
affectionate|concerned|3|0.5
affectionate|concerned|4|0.4
affectionate|confused|0|0.1
affectionate|confused|1|0.1
affectionate|confused|2|0.1
affectionate|confused|3|0.1
affectionate|confused|4|0.1
affectionate|curious|0|0.3
affectionate|curious|1|0.3
affectionate|curious|2|0.3
affectionate|curious|3|0.3
affectionate|curious|4|0.3
affectionate|defensive|0|0.2
affectionate|defensive|1|0.2
affectionate|defensive|2|0.1
affectionate|defensive|3|0.1
affectionate|defensive|4|0.2
affectionate|descriptive|0|0.2
affectionate|descriptive|1|0.2
affectionate|descriptive|2|0.2
affectionate|descriptive|3|0.2
affectionate|descriptive|4|0.2
affectionate|desperate|0|0.1
affectionate|desperate|1|0.1
affectionate|desperate|2|0.2
affectionate|desperate|3|0.1
affectionate|desperate|4|0.1
affectionate|disappointed|0|0.2
affectionate|disappointed|1|0.1
affectionate|disappointed|2|0.2
affectionate|disappointed|3|0.1
affectionate|disappointed|4|0.1
affectionate|encouraging|0|0.6
affectionate|encouraging|1|0.6
affectionate|encouraging|2|0.7
affectionate|encouraging|3|0.7
affectionate|encouraging|4|0.7
affectionate|excited|0|0.6
affectionate|excited|1|0.6
affectionate|excited|2|0.6
affectionate|excited|3|0.6
affectionate|excited|4|0.6
affectionate|friendly|0|0.8
affectionate|friendly|1|0.8
affectionate|friendly|2|0.8
affectionate|friendly|3|0.7
affectionate|friendly|4|0.8
affectionate|frustrated|0|0.1
affectionate|frustrated|1|0.1
affectionate|frustrated|2|0.1
affectionate|frustrated|3|0.1
affectionate|frustrated|4|0.1
affectionate|grateful|0|0.6
affectionate|grateful|1|0.6
affectionate|grateful|2|0.6
affectionate|grateful|3|0.7
affectionate|grateful|4|0.7
affectionate|happy|0|0.7
affectionate|happy|1|0.6
affectionate|happy|2|0.6
affectionate|happy|3|0.7
affectionate|happy|4|0.7
affectionate|indignant|0|0.1
affectionate|indignant|1|0.1
affectionate|indignant|2|0.1
affectionate|indignant|3|0.1
affectionate|indignant|4|0.1
affectionate|irritated|0|0.1
affectionate|irritated|1|0.1
affectionate|irritated|2|0.1
affectionate|irritated|3|0.1
affectionate|irritated|4|0.1
affectionate|joyful|0|0.6
affectionate|joyful|1|0.7
affectionate|joyful|2|0.6
affectionate|joyful|3|0.6
affectionate|joyful|4|0.7
affectionate|nostalgic|0|0.3
affectionate|nostalgic|1|0.4
affectionate|nostalgic|2|0.4
affectionate|nostalgic|3|0.4
affectionate|nostalgic|4|0.3
affectionate|pleased|0|0.7
affectionate|pleased|1|0.7
affectionate|pleased|2|0.7
affectionate|pleased|3|0.7
affectionate|pleased|4|0.7
affectionate|proud|0|0.4
affectionate|proud|1|0.4
affectionate|proud|2|0.4
affectionate|proud|3|0.3
affectionate|proud|4|0.3
affectionate|reassuring|0|0.7
affectionate|reassuring|1|0.7
affectionate|reassuring|2|0.7
affectionate|reassuring|3|0.8
affectionate|reassuring|4|0.7
affectionate|reflective|0|0.2
affectionate|reflective|1|0.2
affectionate|reflective|2|0.2
affectionate|reflective|3|0.3
affectionate|reflective|4|0.2
affectionate|relieved|0|0.3
affectionate|relieved|1|0.3
affectionate|relieved|2|0.4
affectionate|relieved|3|0.4
affectionate|relieved|4|0.4
affectionate|resigned|0|0.2
affectionate|resigned|1|0.2
affectionate|resigned|2|0.2
affectionate|resigned|3|0.2
affectionate|resigned|4|0.2
affectionate|sad|0|0.2
affectionate|sad|1|0.2
affectionate|sad|2|0.2
affectionate|sad|3|0.2
affectionate|sad|4|0.2
affectionate|sarcastic|0|0.2
affectionate|sarcastic|1|0.1
affectionate|sarcastic|2|0.1
affectionate|sarcastic|3|0.1
affectionate|sarcastic|4|0.1
affectionate|shocked|0|0.1
affectionate|shocked|1|0.1
affectionate|shocked|2|0.1
affectionate|shocked|3|0.1
affectionate|shocked|4|0.1
affectionate|skeptical|0|0.1
affectionate|skeptical|1|0.1
affectionate|skeptical|2|0.1
affectionate|skeptical|3|0.2
affectionate|skeptical|4|0.2
affectionate|surprised|0|0.2
affectionate|surprised|1|0.2
affectionate|surprised|2|0.2
affectionate|surprised|3|0.2
affectionate|surprised|4|0.2
affectionate|sympathetic|0|0.7
affectionate|sympathetic|1|0.7
affectionate|sympathetic|2|0.7
affectionate|sympathetic|3|0.7
affectionate|sympathetic|4|0.7
affectionate|thankful|0|0.7
affectionate|thankful|1|0.6
affectionate|thankful|2|0.6
affectionate|thankful|3|0.6
affectionate|thankful|4|0.6
affectionate|uncertain|0|0.1
affectionate|uncertain|1|0.1
affectionate|uncertain|2|0.1
affectionate|uncertain|3|0.1
affectionate|uncertain|4|0.1
affectionate|urgent|0|0.1
affectionate|urgent|1|0.1
affectionate|urgent|2|0.1
affectionate|urgent|3|0.1
affectionate|urgent|4|0.1
affectionate|worried|0|0.2
affectionate|worried|1|0.2
affectionate|worried|2|0.2
affectionate|worried|3|0.1
affectionate|worried|4|0.2
angry|angry|0|1
angry|angry|1|1
angry|angry|2|1
angry|angry|3|1
angry|angry|4|1
angry|annoyed|0|0.8
angry|annoyed|1|0.8
angry|annoyed|2|0.8
angry|annoyed|3|0.8
angry|annoyed|4|0.8
angry|anxious|0|0.3
angry|anxious|1|0.3
angry|anxious|2|0.5
angry|anxious|3|0.3
angry|anxious|4|0.3
angry|apologetic|0|0.2
angry|apologetic|1|0.2
angry|apologetic|2|0.2
angry|apologetic|3|0.2
angry|apologetic|4|0.2
angry|appreciative|0|0.1
angry|appreciative|1|0.1
angry|appreciative|2|0.1
angry|appreciative|3|0.1
angry|appreciative|4|0.1
angry|concerned|0|0.4
angry|concerned|1|0.3
angry|concerned|2|0.5
angry|concerned|3|0.3
angry|concerned|4|0.3
angry|confused|0|0.2
angry|confused|1|0.2
angry|confused|2|0.2
angry|confused|3|0.1
angry|confused|4|0.2
angry|curious|0|0.1
angry|curious|1|0.2
angry|curious|2|0.2
angry|curious|3|0.1
angry|curious|4|0.1
angry|defensive|0|0.7
angry|defensive|1|0.7
angry|defensive|2|0.7
angry|defensive|3|0.7
angry|defensive|4|0.7
angry|descriptive|0|0.1
angry|descriptive|1|0.1
angry|descriptive|2|0.1
angry|descriptive|3|0.1
angry|descriptive|4|0.1
angry|desperate|0|0.4
angry|desperate|1|0.3
angry|desperate|2|0.4
angry|desperate|3|0.3
angry|desperate|4|0.3
angry|disappointed|0|0.6
angry|disappointed|1|0.6
angry|disappointed|2|0.7
angry|disappointed|3|0.6
angry|disappointed|4|0.6
angry|encouraging|0|0.1
angry|encouraging|1|0.1
angry|encouraging|2|0.1
angry|encouraging|3|0.1
angry|encouraging|4|0.1
angry|excited|0|0.3
angry|excited|1|0.2
angry|excited|2|0.2
angry|excited|3|0.3
angry|excited|4|0.2
angry|friendly|0|0
angry|friendly|1|0
angry|friendly|2|0
angry|friendly|3|0
angry|friendly|4|0
angry|frustrated|0|0.8
angry|frustrated|1|0.8
angry|frustrated|2|0.8
angry|frustrated|3|0.8
angry|frustrated|4|0.8
angry|grateful|0|0.1
angry|grateful|1|0
angry|grateful|2|0
angry|grateful|3|0
angry|grateful|4|0
angry|happy|0|0
angry|happy|1|0
angry|happy|2|0
angry|happy|3|0
angry|happy|4|0
angry|indignant|0|0.8
angry|indignant|1|0.8
angry|indignant|2|0.8
angry|indignant|3|0.8
angry|indignant|4|0.8
angry|irritated|0|0.9
angry|irritated|1|0.8
angry|irritated|2|0.8
angry|irritated|3|0.9
angry|irritated|4|0.8
angry|joyful|0|0
angry|joyful|1|0
angry|joyful|2|0
angry|joyful|3|0
angry|joyful|4|0
angry|nostalgic|0|0.1
angry|nostalgic|1|0.1
angry|nostalgic|2|0.1
angry|nostalgic|3|0.1
angry|nostalgic|4|0
angry|pleased|0|0
angry|pleased|1|0
angry|pleased|2|0
angry|pleased|3|0
angry|pleased|4|0
angry|proud|0|0.2
angry|proud|1|0.2
angry|proud|2|0.2
angry|proud|3|0.2
angry|proud|4|0.2
angry|reassuring|0|0.1
angry|reassuring|1|0.1
angry|reassuring|2|0.1
angry|reassuring|3|0.1
angry|reassuring|4|0.1
angry|reflective|0|0.2
angry|reflective|1|0.2
angry|reflective|2|0.1
angry|reflective|3|0.1
angry|reflective|4|0.2
angry|relieved|0|0.1
angry|relieved|1|0.1
angry|relieved|2|0.1
angry|relieved|3|0.1
angry|relieved|4|0.1
angry|resigned|0|0.2
angry|resigned|1|0.3
angry|resigned|2|0.2
angry|resigned|3|0.2
angry|resigned|4|0.2
angry|sad|0|0.3
angry|sad|1|0.3
angry|sad|2|0.2
angry|sad|3|0.2
angry|sad|4|0.2
angry|sarcastic|0|0.3
angry|sarcastic|1|0.3
angry|sarcastic|2|0.4
angry|sarcastic|3|0.3
angry|sarcastic|4|0.3
angry|shocked|0|0.3
angry|shocked|1|0.3
angry|shocked|2|0.3
angry|shocked|3|0.2
angry|shocked|4|0.4
angry|skeptical|0|0.3
angry|skeptical|1|0.4
angry|skeptical|2|0.3
angry|skeptical|3|0.3
angry|skeptical|4|0.3
angry|surprised|0|0.2
angry|surprised|1|0.2
angry|surprised|2|0.2
angry|surprised|3|0.2
angry|surprised|4|0.2
angry|sympathetic|0|0.1
angry|sympathetic|1|0.1
angry|sympathetic|2|0.1
angry|sympathetic|3|0.1
angry|sympathetic|4|0.1
angry|thankful|0|0.1
angry|thankful|1|0.1
angry|thankful|2|0.1
angry|thankful|3|0.1
angry|thankful|4|0.1
angry|uncertain|0|0.1
angry|uncertain|1|0.1
angry|uncertain|2|0.1
angry|uncertain|3|0.1
angry|uncertain|4|0.2
angry|urgent|0|0.3
angry|urgent|1|0.3
angry|urgent|2|0.3
angry|urgent|3|0.4
angry|urgent|4|0.3
angry|worried|0|0.3
angry|worried|1|0.3
angry|worried|2|0.3
angry|worried|3|0.3
angry|worried|4|0.3
annoyed|annoyed|0|1
annoyed|annoyed|1|1
annoyed|annoyed|2|1
annoyed|annoyed|3|1
annoyed|annoyed|4|1
annoyed|anxious|0|0.3
annoyed|anxious|1|0.2
annoyed|anxious|2|0.2
annoyed|anxious|3|0.3
annoyed|anxious|4|0.2
annoyed|apologetic|0|0.2
annoyed|apologetic|1|0.2
annoyed|apologetic|2|0.2
annoyed|apologetic|3|0.2
annoyed|apologetic|4|0.2
annoyed|appreciative|0|0.1
annoyed|appreciative|1|0.1
annoyed|appreciative|2|0.1
annoyed|appreciative|3|0.1
annoyed|appreciative|4|0.1
annoyed|concerned|0|0.3
annoyed|concerned|1|0.2
annoyed|concerned|2|0.3
annoyed|concerned|3|0.3
annoyed|concerned|4|0.3
annoyed|confused|0|0.2
annoyed|confused|1|0.2
annoyed|confused|2|0.2
annoyed|confused|3|0.2
annoyed|confused|4|0.2
annoyed|curious|0|0.2
annoyed|curious|1|0.2
annoyed|curious|2|0.2
annoyed|curious|3|0.1
annoyed|curious|4|0.1
annoyed|defensive|0|0.6
annoyed|defensive|1|0.6
annoyed|defensive|2|0.5
annoyed|defensive|3|0.6
annoyed|defensive|4|0.6
annoyed|descriptive|0|0.1
annoyed|descriptive|1|0.1
annoyed|descriptive|2|0.1
annoyed|descriptive|3|0.1
annoyed|descriptive|4|0.1
annoyed|desperate|0|0.2
annoyed|desperate|1|0.2
annoyed|desperate|2|0.2
annoyed|desperate|3|0.2
annoyed|desperate|4|0.3
annoyed|disappointed|0|0.7
annoyed|disappointed|1|0.7
annoyed|disappointed|2|0.7
annoyed|disappointed|3|0.7
annoyed|disappointed|4|0.7
annoyed|encouraging|0|0.1
annoyed|encouraging|1|0.1
annoyed|encouraging|2|0.1
annoyed|encouraging|3|0.1
annoyed|encouraging|4|0.1
annoyed|excited|0|0.1
annoyed|excited|1|0.1
annoyed|excited|2|0.1
annoyed|excited|3|0.1
annoyed|excited|4|0.1
annoyed|friendly|0|0
annoyed|friendly|1|0
annoyed|friendly|2|0
annoyed|friendly|3|0
annoyed|friendly|4|0
annoyed|frustrated|0|0.9
annoyed|frustrated|1|0.8
annoyed|frustrated|2|0.8
annoyed|frustrated|3|0.9
annoyed|frustrated|4|0.8
annoyed|grateful|0|0
annoyed|grateful|1|0
annoyed|grateful|2|0
annoyed|grateful|3|0
annoyed|grateful|4|0.1
annoyed|happy|0|0
annoyed|happy|1|0
annoyed|happy|2|0
annoyed|happy|3|0
annoyed|happy|4|0
annoyed|indignant|0|0.8
annoyed|indignant|1|0.75
annoyed|indignant|2|0.8
annoyed|indignant|3|0.8
annoyed|indignant|4|0.8
annoyed|irritated|0|0.9
annoyed|irritated|1|0.9
annoyed|irritated|2|0.9
annoyed|irritated|3|0.9
annoyed|irritated|4|0.9
annoyed|joyful|0|0
annoyed|joyful|1|0
annoyed|joyful|2|0
annoyed|joyful|3|0
annoyed|joyful|4|0
annoyed|nostalgic|0|0.1
annoyed|nostalgic|1|0.1
annoyed|nostalgic|2|0
annoyed|nostalgic|3|0.1
annoyed|nostalgic|4|0.1
annoyed|pleased|0|0
annoyed|pleased|1|0
annoyed|pleased|2|0
annoyed|pleased|3|0.1
annoyed|pleased|4|0
annoyed|proud|0|0.1
annoyed|proud|1|0.1
annoyed|proud|2|0.1
annoyed|proud|3|0.2
annoyed|proud|4|0.1
annoyed|reassuring|0|0.1
annoyed|reassuring|1|0.1
annoyed|reassuring|2|0.1
annoyed|reassuring|3|0.1
annoyed|reassuring|4|0.1
annoyed|reflective|0|0.1
annoyed|reflective|1|0.1
annoyed|reflective|2|0.2
annoyed|reflective|3|0.1
annoyed|reflective|4|0.1
annoyed|relieved|0|0.1
annoyed|relieved|1|0.1
annoyed|relieved|2|0.1
annoyed|relieved|3|0.1
annoyed|relieved|4|0.1
annoyed|resigned|0|0.3
annoyed|resigned|1|0.3
annoyed|resigned|2|0.4
annoyed|resigned|3|0.5
annoyed|resigned|4|0.4
annoyed|sad|0|0.3
annoyed|sad|1|0.3
annoyed|sad|2|0.3
annoyed|sad|3|0.3
annoyed|sad|4|0.3
annoyed|sarcastic|0|0.4
annoyed|sarcastic|1|0.6
annoyed|sarcastic|2|0.4
annoyed|sarcastic|3|0.4
annoyed|sarcastic|4|0.3
annoyed|shocked|0|0.2
annoyed|shocked|1|0.2
annoyed|shocked|2|0.2
annoyed|shocked|3|0.1
annoyed|shocked|4|0.2
annoyed|skeptical|0|0.6
annoyed|skeptical|1|0.4
annoyed|skeptical|2|0.4
annoyed|skeptical|3|0.4
annoyed|skeptical|4|0.3
annoyed|surprised|0|0.2
annoyed|surprised|1|0.1
annoyed|surprised|2|0.1
annoyed|surprised|3|0.2
annoyed|surprised|4|0.2
annoyed|sympathetic|0|0.1
annoyed|sympathetic|1|0.2
annoyed|sympathetic|2|0.1
annoyed|sympathetic|3|0.1
annoyed|sympathetic|4|0.1
annoyed|thankful|0|0
annoyed|thankful|1|0
annoyed|thankful|2|0.1
annoyed|thankful|3|0
annoyed|thankful|4|0.1
annoyed|uncertain|0|0.2
annoyed|uncertain|1|0.1
annoyed|uncertain|2|0.1
annoyed|uncertain|3|0.1
annoyed|uncertain|4|0.2
annoyed|urgent|0|0.2
annoyed|urgent|1|0.2
annoyed|urgent|2|0.2
annoyed|urgent|3|0.2
annoyed|urgent|4|0.2
annoyed|worried|0|0.2
annoyed|worried|1|0.2
annoyed|worried|2|0.3
annoyed|worried|3|0.2
annoyed|worried|4|0.2
anxious|anxious|0|1
anxious|anxious|1|1
anxious|anxious|2|1
anxious|anxious|3|1
anxious|anxious|4|1
anxious|apologetic|0|0.3
anxious|apologetic|1|0.4
anxious|apologetic|2|0.4
anxious|apologetic|3|0.3
anxious|apologetic|4|0.4
anxious|appreciative|0|0.1
anxious|appreciative|1|0.1
anxious|appreciative|2|0.1
anxious|appreciative|3|0.1
anxious|appreciative|4|0.2
anxious|concerned|0|0.8
anxious|concerned|1|0.8
anxious|concerned|2|0.8
anxious|concerned|3|0.85
anxious|concerned|4|0.8
anxious|confused|0|0.4
anxious|confused|1|0.4
anxious|confused|2|0.4
anxious|confused|3|0.4
anxious|confused|4|0.4
anxious|curious|0|0.3
anxious|curious|1|0.3
anxious|curious|2|0.3
anxious|curious|3|0.3
anxious|curious|4|0.3
anxious|defensive|0|0.5
anxious|defensive|1|0.6
anxious|defensive|2|0.6
anxious|defensive|3|0.6
anxious|defensive|4|0.6
anxious|descriptive|0|0.1
anxious|descriptive|1|0.1
anxious|descriptive|2|0.2
anxious|descriptive|3|0.1
anxious|descriptive|4|0.1
anxious|desperate|0|0.8
anxious|desperate|1|0.8
anxious|desperate|2|0.7
anxious|desperate|3|0.7
anxious|desperate|4|0.8
anxious|disappointed|0|0.3
anxious|disappointed|1|0.5
anxious|disappointed|2|0.3
anxious|disappointed|3|0.4
anxious|disappointed|4|0.5
anxious|encouraging|0|0.2
anxious|encouraging|1|0.2
anxious|encouraging|2|0.2
anxious|encouraging|3|0.2
anxious|encouraging|4|0.2
anxious|excited|0|0.6
anxious|excited|1|0.5
anxious|excited|2|0.5
anxious|excited|3|0.7
anxious|excited|4|0.6
anxious|friendly|0|0.2
anxious|friendly|1|0.1
anxious|friendly|2|0.1
anxious|friendly|3|0.2
anxious|friendly|4|0.2
anxious|frustrated|0|0.6
anxious|frustrated|1|0.6
anxious|frustrated|2|0.6
anxious|frustrated|3|0.6
anxious|frustrated|4|0.7
anxious|grateful|0|0.2
anxious|grateful|1|0.1
anxious|grateful|2|0.1
anxious|grateful|3|0.1
anxious|grateful|4|0.1
anxious|happy|0|0.1
anxious|happy|1|0.1
anxious|happy|2|0.1
anxious|happy|3|0.1
anxious|happy|4|0.1
anxious|indignant|0|0.2
anxious|indignant|1|0.2
anxious|indignant|2|0.3
anxious|indignant|3|0.3
anxious|indignant|4|0.1
anxious|irritated|0|0.4
anxious|irritated|1|0.4
anxious|irritated|2|0.4
anxious|irritated|3|0.4
anxious|irritated|4|0.3
anxious|joyful|0|0
anxious|joyful|1|0
anxious|joyful|2|0
anxious|joyful|3|0
anxious|joyful|4|0
anxious|nostalgic|0|0.2
anxious|nostalgic|1|0.2
anxious|nostalgic|2|0.1
anxious|nostalgic|3|0.1
anxious|nostalgic|4|0.2
anxious|pleased|0|0.1
anxious|pleased|1|0.1
anxious|pleased|2|0.1
anxious|pleased|3|0.1
anxious|pleased|4|0.1
anxious|proud|0|0.1
anxious|proud|1|0.1
anxious|proud|2|0.1
anxious|proud|3|0.1
anxious|proud|4|0.1
anxious|reassuring|0|0.1
anxious|reassuring|1|0.2
anxious|reassuring|2|0.2
anxious|reassuring|3|0.1
anxious|reassuring|4|0.2
anxious|reflective|0|0.2
anxious|reflective|1|0.3
anxious|reflective|2|0.3
anxious|reflective|3|0.2
anxious|reflective|4|0.2
anxious|relieved|0|0.2
anxious|relieved|1|0.2
anxious|relieved|2|0.2
anxious|relieved|3|0.1
anxious|relieved|4|0.1
anxious|resigned|0|0.3
anxious|resigned|1|0.3
anxious|resigned|2|0.2
anxious|resigned|3|0.4
anxious|resigned|4|0.3
anxious|sad|0|0.5
anxious|sad|1|0.5
anxious|sad|2|0.5
anxious|sad|3|0.6
anxious|sad|4|0.5
anxious|sarcastic|0|0.1
anxious|sarcastic|1|0.1
anxious|sarcastic|2|0.1
anxious|sarcastic|3|0.2
anxious|sarcastic|4|0.1
anxious|shocked|0|0.5
anxious|shocked|1|0.5
anxious|shocked|2|0.6
anxious|shocked|3|0.5
anxious|shocked|4|0.4
anxious|skeptical|0|0.3
anxious|skeptical|1|0.3
anxious|skeptical|2|0.4
anxious|skeptical|3|0.3
anxious|skeptical|4|0.4
anxious|surprised|0|0.2
anxious|surprised|1|0.3
anxious|surprised|2|0.3
anxious|surprised|3|0.3
anxious|surprised|4|0.3
anxious|sympathetic|0|0.4
anxious|sympathetic|1|0.3
anxious|sympathetic|2|0.3
anxious|sympathetic|3|0.3
anxious|sympathetic|4|0.3
anxious|thankful|0|0.2
anxious|thankful|1|0.1
anxious|thankful|2|0.2
anxious|thankful|3|0.1
anxious|thankful|4|0.2
anxious|uncertain|0|0.8
anxious|uncertain|1|0.8
anxious|uncertain|2|0.7
anxious|uncertain|3|0.8
anxious|uncertain|4|0.8
anxious|urgent|0|0.7
anxious|urgent|1|0.6
anxious|urgent|2|0.7
anxious|urgent|3|0.7
anxious|urgent|4|0.7
anxious|worried|0|0.9
anxious|worried|1|0.9
anxious|worried|2|0.9
anxious|worried|3|0.9
anxious|worried|4|0.9
apologetic|apologetic|0|1
apologetic|apologetic|1|1
apologetic|apologetic|2|1
apologetic|apologetic|3|1
apologetic|apologetic|4|1
apologetic|appreciative|0|0.2
apologetic|appreciative|1|0.3
apologetic|appreciative|2|0.3
apologetic|appreciative|3|0.3
apologetic|appreciative|4|0.2
apologetic|concerned|0|0.7
apologetic|concerned|1|0.7
apologetic|concerned|2|0.6
apologetic|concerned|3|0.6
apologetic|concerned|4|0.7
apologetic|confused|0|0.2
apologetic|confused|1|0.2
apologetic|confused|2|0.1
apologetic|confused|3|0.3
apologetic|confused|4|0.2
apologetic|curious|0|0.2
apologetic|curious|1|0.2
apologetic|curious|2|0.2
apologetic|curious|3|0.1
apologetic|curious|4|0.2
apologetic|defensive|0|0.3
apologetic|defensive|1|0.4
apologetic|defensive|2|0.4
apologetic|defensive|3|0.4
